nflId,displayName,officialPosition,birthDate,height,weight,collegeName,Year,HandSize,ArmLength,40Yard,BenchPress,VertLeap,BroadJump,Shuttle,3Cone,60YdShuttle,playtotal,PRplaytotal,PBplaytotal,hittotal,hurrytotal,sacktotal,beatentotal,hitallowedtotal,hurryallowedtotal,sackallowedtotal,hitrate,hurryrate,sackrate,beatenrate,hitallowedrate,hurryallowedrate,sackallowedrate
34777,Steve McLendon,NT,"January 3, 1986",75,310,Troy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,53,0,1,2,0,NA,NA,NA,NA,0.018867924528301886,0.03773584905660377,0,NA,NA,NA,NA
34843,Brian Hoyer,QB,"October 13, 1985",74,215,Michigan State,2009,9.5,32,5.02,NA,32,109,4.42,7.1,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35441,Ndamukong Suh,DE,"January 6, 1987",76,313,Nebraska,2010,5.25,32.5,5.03,32,35.5,105,4.44,7.21,NA,217,211,0,5,12,2,NA,NA,NA,NA,0.023696682464454975,0.05687203791469194,0.009478672985781991,NA,NA,NA,NA
35442,Gerald McCoy,DT,"February 25, 1988",76,300,Oklahoma,2010,10.25,33.75,5.04,23,30.5,114,4.48,7.32,NA,5,5,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
35443,Trent Williams,T,"July 19, 1988",77,320,Oklahoma,2010,9.75,34.25,4.81,23,34.5,113,4.63,7.64,NA,175,0,175,NA,NA,NA,6,3,5,0,NA,NA,NA,0.03428571428571429,0.017142857142857144,0.02857142857142857,0
35446,Joe Haden,CB,"April 14, 1989",71,195,Florida,2010,9.5,32.75,4.52,18,35,125,4.34,6.94,NA,207,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35449,Tyson Alualu,DE,"May 12, 1987",75,304,California,2010,10,33,4.87,21,35.5,116,4.43,7.15,NA,36,36,0,1,1,0,NA,NA,NA,NA,0.027777777777777776,0.027777777777777776,0,NA,NA,NA,NA
35452,Brandon Graham,DE,"April 3, 1988",74,265,Michigan,2010,9.88,32.25,4.71,31,31.5,111,4.25,7.01,NA,29,29,0,1,1,0,NA,NA,NA,NA,0.034482758620689655,0.034482758620689655,0,NA,NA,NA,NA
35454,Jason Pierre-Paul,DE,"January 1, 1989",77,275,South Florida,2010,10.38,34.75,4.71,19,30.5,115,4.67,7.18,NA,209,183,0,1,11,2,NA,NA,NA,NA,0.00546448087431694,0.060109289617486336,0.01092896174863388,NA,NA,NA,NA
35459,Kareem Jackson,SS,"April 10, 1988",70,185,Alabama,2010,9.13,30,4.4,13,37.5,118,4.14,6.92,NA,258,2,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
35462,Bryan Bulaga,T,"March 21, 1989",77,314,Iowa,2010,9.25,33.25,5.2,26,27.5,98,4.75,7.7,NA,27,0,27,NA,NA,NA,2,0,1,0,NA,NA,NA,0.07407407407407407,0,0.037037037037037035,0
35466,Devin McCourty,FS,"August 13, 1987",70,195,Rutgers,2010,9,32,4.38,16,36,126,4.07,6.7,NA,248,4,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
35470,Jerry Hughes,DE,"August 13, 1988",74,254,Texas Christian,2010,9.75,33,4.65,26,34.5,118,4.15,6.99,NA,141,134,0,3,24,1,NA,NA,NA,NA,0.022388059701492536,0.1791044776119403,0.007462686567164179,NA,NA,NA,NA
35472,Rodger Saffold,G,"June 6, 1988",77,325,Indiana,2010,9.38,33.63,5.21,27,29.5,113,4.67,7.42,NA,208,0,208,NA,NA,NA,6,1,7,2,NA,NA,NA,0.028846153846153848,0.004807692307692308,0.03365384615384615,0.009615384615384616
35481,Rob Gronkowski,TE,"May 14, 1989",78,265,Arizona,2010,10.75,34.25,4.68,23,33.5,119,4.47,7.18,NA,97,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35485,Linval Joseph,NT,"October 10, 1988",76,329,East Carolina,2010,10,34.5,5.09,39,30,100,4.71,8.12,NA,117,117,0,1,11,1,NA,NA,NA,NA,0.008547008547008548,0.09401709401709402,0.008547008547008548,NA,NA,NA,NA
35493,Carlos Dunlap,OLB,"February 28, 1989",78,285,Florida,2010,10,34.63,4.68,21,31.5,111,4.61,7.21,NA,170,154,0,3,12,1,NA,NA,NA,NA,0.01948051948051948,0.07792207792207792,0.006493506493506494,NA,NA,NA,NA
35521,Emmanuel Sanders,WR,"March 17, 1987",71,180,Southern Methodist,2010,9.25,32,4.4,12,39.5,126,4.1,6.64,NA,229,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35522,Corey Peters,DT,"June 8, 1988",75,335,Kentucky,2010,9,34,4.98,26,33,98,4.76,7.56,NA,39,36,0,0,3,0,NA,NA,NA,NA,0,0.08333333333333333,0,NA,NA,NA,NA
35527,Andre Roberts,WR,"January 9, 1988",71,195,Citadel,2010,9.5,31.5,4.4,15,36,120,4.15,6.77,NA,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35534,Jimmy Graham,TE,"November 24, 1986",79,265,Miami,2010,10.63,35,4.53,15,38.5,120,4.45,6.9,11.76,50,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35539,Everson Griffen,DE,"December 22, 1987",75,273,Southern California,2010,10,32.63,4.65,32,34,115,4.36,7.25,NA,173,168,0,5,16,5,NA,NA,NA,NA,0.02976190476190476,0.09523809523809523,0.02976190476190476,NA,NA,NA,NA
35562,Al Woods,DT,"March 25, 1987",76,330,Louisiana State,2010,11,36,5.15,23,37,109,4.67,7.45,NA,130,130,0,3,6,2,NA,NA,NA,NA,0.023076923076923078,0.046153846153846156,0.015384615384615385,NA,NA,NA,NA
35634,Antonio Brown,WR,"July 10, 1988",70,185,Central Michigan,2010,9,31,4.56,13,33.5,105,4.18,6.98,NA,133,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36712,Andrew Sendejo,FS,"September 9, 1987",73,210,Rice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,3,0,0,1,0,NA,NA,NA,NA,0,0.3333333333333333,0,NA,NA,NA,NA
36785,Ty Nsekhe,T,"October 27, 1985",80,330,Texas State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,0,38,NA,NA,NA,5,2,2,1,NA,NA,NA,0.13157894736842105,0.05263157894736842,0.05263157894736842,0.02631578947368421
37075,Von Miller,OLB,"March 26, 1989",75,250,Texas A&amp;M,2011,9.25,33.5,4.42,21,37,126,4.06,6.7,11.15,174,160,0,4,21,5,NA,NA,NA,NA,0.025,0.13125,0.03125,NA,NA,NA,NA
37077,A.J. Green (WR),WR,"July 31, 1988",76,210,Georgia,2011,9.25,34.38,4.48,18,34.5,126,4.21,6.91,11.46,209,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37078,Patrick Peterson,CB,"July 11, 1990",73,203,Louisiana State,2011,9.25,32,4.31,15,38,126,4.07,6.58,11.01,198,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37079,Julio Jones,WR,"February 8, 1989",75,220,Alabama,2011,9.75,33.75,4.34,17,38.5,135,4.25,6.66,11.07,115,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37082,Tyron Smith,T,"December 12, 1990",77,320,Southern California,2011,11,36.38,5.08,29,29,109,4.68,7.47,NA,223,0,223,NA,NA,NA,5,1,4,1,NA,NA,NA,0.02242152466367713,0.004484304932735426,0.017937219730941704,0.004484304932735426
37083,Blaine Gabbert,QB,"October 15, 1989",76,235,Missouri,2011,10,33,4.61,NA,33.5,120,4.26,6.84,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37084,J.J. Watt,DE,"March 22, 1989",77,288,Wisconsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,188,0,11,15,1,NA,NA,NA,NA,0.05851063829787234,0.0797872340425532,0.005319148936170213,NA,NA,NA,NA
37087,Robert Quinn,OLB,"May 18, 1990",76,257,North Carolina,2011,10.13,34,4.62,22,34,116,4.4,7.13,NA,164,146,0,2,15,5,NA,NA,NA,NA,0.0136986301369863,0.10273972602739725,0.03424657534246575,NA,NA,NA,NA
37089,Ryan Kerrigan,DE,"August 16, 1988",76,265,Purdue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,88,0,1,12,0,NA,NA,NA,NA,0.011363636363636364,0.13636363636363635,0,NA,NA,NA,NA
37090,Nate Solder,T,"April 12, 1988",80,325,Colorado,2011,9.88,35.5,4.96,21,32,110,4.34,7.44,NA,279,0,279,NA,NA,NA,18,6,17,3,NA,NA,NA,0.06451612903225806,0.021505376344086023,0.06093189964157706,0.010752688172043012
37097,Cameron Jordan,DE,"July 10, 1989",76,287,California,2011,11.13,35,4.74,25,31,117,4.37,7.07,NA,227,224,0,7,18,2,NA,NA,NA,NA,0.03125,0.08035714285714286,0.008928571428571428,NA,NA,NA,NA
37100,Jimmy Smith,CB,"July 26, 1988",74,210,Colorado,2011,9.75,32.25,4.42,24,36,123,4.06,6.93,NA,60,2,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
37101,Mark Ingram,RB,"December 21, 1989",69,215,Alabama,2011,9.5,30.75,4.62,21,31.5,113,4.62,7.13,NA,66,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37104,Cameron Heyward,DT,"May 6, 1989",77,295,Ohio State,2011,10.13,34.25,4.92,NA,30,NA,NA,NA,NA,199,199,0,2,22,3,NA,NA,NA,NA,0.010050251256281407,0.11055276381909548,0.01507537688442211,NA,NA,NA,NA
37110,Andy Dalton,QB,"October 29, 1987",74,220,Texas Christian,2011,9.5,31.75,4.83,NA,29.5,106,4.27,6.93,NA,54,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37112,Jabaal Sheard,DE,"May 10, 1989",75,268,Pittsburgh,2011,10,33.5,4.68,NA,31,115,4.65,7.34,NA,6,6,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
37118,Kyle Rudolph,TE,"November 9, 1989",78,265,Notre Dame,2011,10.75,34,4.83,19,34.5,113,4.37,7.24,NA,155,0,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37130,Rodney Hudson,C,"July 12, 1989",74,315,Florida State,2011,9.38,32.5,5.27,27,25.5,95,4.96,8.03,NA,143,0,143,NA,NA,NA,3,0,0,0,NA,NA,NA,0.02097902097902098,0,0,0
37139,Randall Cobb,WR,"August 22, 1990",70,192,Kentucky,2011,9.38,31,4.46,16,33.5,115,4.34,7.08,11.56,120,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37145,Justin Houston,OLB,"January 21, 1989",75,270,Georgia,2011,10.88,34.5,4.62,30,36.5,125,4.37,6.95,11.46,151,138,0,8,8,4,NA,NA,NA,NA,0.057971014492753624,0.057971014492753624,0.028985507246376812,NA,NA,NA,NA
37174,K.J. Wright,OLB,"July 23, 1989",76,246,Mississippi State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,0,0,0,1,0,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA
37179,Luke Stocker,TE,"July 17, 1988",77,253,Tennessee,2011,9.75,33,4.68,27,33,115,4.4,7.03,11.95,9,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37200,Taiwan Jones,RB,"July 26, 1988",73,195,Eastern Washington,2011,8.75,29.5,4.53,13,32,115,4.33,7.25,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37213,Marcus Cannon,T,"May 6, 1988",78,335,Texas Christian,2011,9.13,34,5.26,33,30.5,105,4.97,8.07,NA,106,0,106,NA,NA,NA,2,0,4,1,NA,NA,NA,0.018867924528301886,0,0.03773584905660377,0.009433962264150943
37229,Richard Sherman,CB,"March 30, 1988",75,195,Stanford,2011,9.75,32,4.54,16,38,125,4.33,6.82,11.44,85,4,0,0,1,0,NA,NA,NA,NA,0,0.25,0,NA,NA,NA,NA
37234,Lee Smith,TE,"November 21, 1987",78,265,Marshall,2011,9.75,34.38,4.94,25,29,108,4.28,7.16,12,63,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37240,Pernell McPhee,OLB,"December 17, 1988",75,265,Mississippi State,2011,9,34.38,4.91,20,28.5,107,4.59,7.13,NA,90,83,0,1,4,0,NA,NA,NA,NA,0.012048192771084338,0.04819277108433735,0,NA,NA,NA,NA
37255,Tyrod Taylor,QB,"August 3, 1989",73,215,Virginia Tech,2011,10,32.25,4.47,NA,37.5,126,4.09,6.78,NA,41,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37266,Jason Kelce,C,"November 5, 1987",75,295,Cincinnati,2011,9.5,32.5,4.89,NA,30.5,110,4.14,7.22,NA,255,0,255,NA,NA,NA,4,0,11,1,NA,NA,NA,0.01568627450980392,0,0.043137254901960784,0.00392156862745098
37308,Lawrence Guy,DT,"March 17, 1990",76,315,Arizona State,2011,10.75,32.75,4.96,28,29,104,4.43,7.6,NA,85,85,0,4,3,1,NA,NA,NA,NA,0.047058823529411764,0.03529411764705882,0.011764705882352941,NA,NA,NA,NA
37317,Malcolm Smith,MLB,"July 5, 1989",73,225,Southern California,2011,NA,NA,4.44,28,39,125,4.54,7.08,NA,121,9,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
37724,Chris Harris,CB,"June 18, 1989",70,199,Kansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,5,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
37737,Chris Hogan,WR,"October 24, 1987",73,210,"Monmouth, N.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37778,Josh Bynes,ILB,"August 24, 1989",73,235,Auburn,2011,NA,NA,4.81,21,33,116,4.32,7.11,NA,56,5,0,0,1,0,NA,NA,NA,NA,0,0.2,0,NA,NA,NA,NA
37792,Nick Bellore,LB,"May 12, 1989",73,250,Central Michigan,2011,9.88,30.75,4.84,23,32.5,109,4,6.98,11.62,3,0,3,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0
37841,Mario Addison,DE,"September 6, 1987",75,260,Troy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,114,0,1,11,2,NA,NA,NA,NA,0.008771929824561403,0.09649122807017543,0.017543859649122806,NA,NA,NA,NA
38538,Ryan Tannehill,QB,"July 27, 1988",76,207,Texas A&amp;M,2012,9,32.63,4.65,NA,NA,NA,NA,NA,NA,277,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38540,Stephon Gilmore,CB,"September 19, 1990",73,202,South Carolina,2012,9.25,31,4.38,15,36,123,3.94,6.61,11.15,14,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38542,Fletcher Cox,DT,"December 13, 1990",76,310,Mississippi State,2012,10.38,34.5,4.77,30,26,103,4.53,7.07,NA,178,178,0,2,17,1,NA,NA,NA,NA,0.011235955056179775,0.09550561797752809,0.0056179775280898875,NA,NA,NA,NA
38544,Michael Brockers,DE,"December 21, 1990",77,305,Louisiana State,2012,9.13,35,5.31,21,26.5,105,4.81,7.46,NA,134,133,0,0,3,1,NA,NA,NA,NA,0,0.022556390977443608,0.007518796992481203,NA,NA,NA,NA
38547,Dre Kirkpatrick,CB,"October 26, 1989",74,190,Alabama,2012,9.5,30.63,4.5,NA,35,120,NA,7.2,NA,25,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38548,Melvin Ingram,OLB,"April 26, 1989",74,247,South Carolina,2012,9.63,31.5,4.69,28,34.5,109,4.18,6.83,NA,141,123,0,8,14,1,NA,NA,NA,NA,0.06504065040650407,0.11382113821138211,0.008130081300813009,NA,NA,NA,NA
38551,Chandler Jones,OLB,"February 27, 1990",77,265,Syracuse,2012,9.75,35.5,4.77,22,35,120,4.38,7.07,NA,173,163,0,7,8,4,NA,NA,NA,NA,0.04294478527607362,0.049079754601226995,0.024539877300613498,NA,NA,NA,NA
38553,Riley Reiff,T,"December 1, 1988",78,305,Iowa,2012,10.13,33.25,5.16,23,26.5,98,4.75,7.87,NA,257,0,257,NA,NA,NA,20,1,10,4,NA,NA,NA,0.07782101167315175,0.0038910505836575876,0.038910505836575876,0.01556420233463035
38555,Dont'a Hightower,OLB,"March 12, 1990",75,260,Alabama,2012,9.75,32.63,4.62,NA,32,117,4.64,7.55,NA,151,54,0,2,5,0,NA,NA,NA,NA,0.037037037037037035,0.09259259259259259,0,NA,NA,NA,NA
38556,Whitney Mercilus,DE,"July 21, 1990",76,258,Illinois,2012,9.25,33.88,4.68,27,32,118,4.53,7.17,NA,132,129,0,1,9,2,NA,NA,NA,NA,0.007751937984496124,0.06976744186046512,0.015503875968992248,NA,NA,NA,NA
38557,Kevin Zeitler,G,"March 8, 1990",76,315,Wisconsin,2012,10.25,32.75,5.32,32,29,101,4.61,7.77,NA,257,0,257,NA,NA,NA,4,0,10,0,NA,NA,NA,0.01556420233463035,0,0.038910505836575876,0
38559,Harrison Smith,SS,"February 2, 1989",74,214,Notre Dame,2012,10.25,32.63,4.54,19,34,122,4.12,6.63,NA,254,13,0,0,1,1,NA,NA,NA,NA,0,0.07692307692307693,0.07692307692307693,NA,NA,NA,NA
38569,Janoris Jenkins,CB,"October 29, 1988",70,190,North Alabama,2012,8.25,32,4.41,NA,33.5,121,4.13,6.95,11.23,297,2,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
38577,Bobby Wagner,MLB,"June 27, 1990",73,242,Utah State,2012,NA,NA,4.46,24,39.5,132,4.28,7.1,NA,306,31,0,2,5,3,NA,NA,NA,NA,0.06451612903225806,0.16129032258064516,0.0967741935483871,NA,NA,NA,NA
38578,Tavon Wilson,SS,"March 19, 1990",73,208,Illinois,2012,NA,NA,4.52,17,32,124,4.16,7.04,NA,25,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38588,Lavonte David,ILB,"January 23, 1990",73,233,Nebraska,2012,8.75,31.75,4.57,19,36.5,119,4.22,7.28,NA,234,33,0,1,3,0,NA,NA,NA,NA,0.030303030303030304,0.09090909090909091,0,NA,NA,NA,NA
38592,Casey Hayward,CB,"September 9, 1989",71,192,Vanderbilt,2012,9,30.25,4.47,19,34,119,3.9,6.76,11.1,237,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38605,Russell Wilson,QB,"November 29, 1988",71,215,Wisconsin,2012,10.25,31,4.53,NA,34,118,4.09,6.97,NA,132,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38606,Brandon Brooks,G,"August 19, 1989",77,335,"Miami, O.",2012,NA,NA,4.99,36,32,105,4.53,7.37,NA,39,0,39,NA,NA,NA,0,0,3,0,NA,NA,NA,0,0,0.07692307692307693,0
38607,Demario Davis,ILB,"January 11, 1989",74,248,Arkansas State,2012,9,32,4.49,32,38.5,124,4.28,7.19,11.65,266,58,0,4,5,3,NA,NA,NA,NA,0.06896551724137931,0.08620689655172414,0.05172413793103448,NA,NA,NA,NA
38613,Mohamed Sanu,WR,"August 22, 1989",74,215,Rutgers,2012,10.13,33.5,4.62,19,36,126,4.22,6.88,NA,130,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38619,Akiem Hicks,DT,"November 16, 1989",76,352,"Regina, Can.",2012,10.25,35.13,5.21,26,31.5,108,4.86,7.75,NA,98,98,0,3,4,3,NA,NA,NA,NA,0.030612244897959183,0.04081632653061224,0.030612244897959183,NA,NA,NA,NA
38622,T.Y. Hilton,WR,"November 14, 1989",70,183,Florida International,2012,8.5,32,4.37,7,35.5,119,4.36,7.03,NA,39,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38629,Ben Jones,C,"July 2, 1989",75,308,Georgia,2012,9.63,32.5,5.35,29,30.5,105,4.74,7.95,NA,272,0,272,NA,NA,NA,7,3,10,1,NA,NA,NA,0.025735294117647058,0.011029411764705883,0.03676470588235294,0.003676470588235294
38630,Travis Benjamin,WR,"December 29, 1989",70,175,Miami,2012,8.75,31.75,4.31,14,38,119,4.17,6.96,NA,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38632,Kirk Cousins,QB,"August 19, 1988",75,202,Michigan State,2012,9.88,31.75,4.84,NA,28.5,109,4.5,7.05,NA,254,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38642,Bobby Massie,T,"August 1, 1989",78,325,Mississippi,2012,9,35,5.18,22,27.5,103,4.95,7.7,NA,292,0,292,NA,NA,NA,11,4,14,5,NA,NA,NA,0.03767123287671233,0.0136986301369863,0.04794520547945205,0.017123287671232876
38667,Malik Jackson,DT,"January 11, 1990",77,290,Tennessee,2012,9,33.75,4.85,25,28,105,4.41,7.38,NA,194,194,0,5,16,1,NA,NA,NA,NA,0.02577319587628866,0.08247422680412371,0.005154639175257732,NA,NA,NA,NA
38673,Josh Norman,CB,"December 15, 1987",73,200,Coastal Carolina,2012,9.25,32.75,4.61,14,33,124,4.23,7.09,NA,124,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38681,Senio Kelemete,G,"May 10, 1990",75,300,Washington,2012,9.63,33.5,5.39,21,25,101,4.58,7.77,NA,2,0,2,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0
38696,Marvin Jones,WR,"March 12, 1990",74,198,California,2012,10,33.13,4.46,22,33,112,4.11,6.81,11.47,245,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38707,Justin Bethel,FS,"June 17, 1990",73,200,Presbyterian,2012,9.75,32.38,4.52,19,39.5,131,4.3,6.79,NA,22,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
